Company Name ,Stock Price End of July,Market Capitalization,Volume ,Industry Name 
Marico Ltd.,662.4,85757,959145,
Aurobindo Pharma Ltd.,1443.3,84569,1187900,
Godrej Properties Ltd.,3001.55,83460,1461740,
Hindustan Petroleum Corporation Ltd.,389.25,82825,12474802,
Indian Bank,595.95,80272,1361169,
Mankind Pharma Ltd.,2000.05,80129,578999,
YES Bank Ltd.,25.45,79759,210174985,
Tube Investments of India Ltd.,4050.2,78337,115859,
Indian Railway Catering & Tourism Corporation Ltd.,966.4,77312,1102487,
Bharat Forge Ltd.,1655.4,77074,1338199,
Muthoot Finance Ltd.,1877.65,75381,686110,
SRF Ltd.,2522.8,74782,460619,
Ashok Leyland Ltd.,250.15,73455,10065906,
General Insurance Corporation of India,409.85,71904,2493549,
Persistent Systems Ltd.,4636.35,71608,354246,
Dixon Technologies (India) Ltd.,11654.55,69735,486190,
NMDC Ltd.,235.91,69136,5617281,
Linde India Ltd.,8066.1,68791,55122,
PB Fintech Ltd.,1500.8,68442,1001534,
JSW Infrastructure Ltd.,325.9,68439,1627395,
Indian Renewable Energy Development Agency Ltd.,254.5,68404,15185550,
Prestige Estates Projects Ltd.,1695.75,67976,1919960,
SBI Cards and Payment Services Ltd.,714.55,67959,1267000,
Cochin Shipyard Ltd.,2537.9,66767,1016016,
UCO Bank,55.18,65973,7563458,
Supreme Industries Ltd.,5163,65584,79847,
PI Industries Ltd.,4278.9,64919,274124,
Oberoi Realty Ltd.,1779.35,64698,543407,
The Fertilisers and Chemicals Travancore Ltd.,996.85,64503,273573,
Berger Paints (India) Ltd.,550.25,64143,570732,
Balkrishna Industries Ltd.,3292.35,63647,167969,
Alkem Laboratories Ltd.,5295.75,63319,82865,
Schaeffler India Ltd.,4044.4,63215,178381,
Container Corporation of India Ltd.,1030.1,62763,1186188,
Phoenix Mills Ltd.,3472.35,62061,359684,
Patanjali Foods Ltd.,1705.65,61744,632168,
Housing and Urban Development Corporation Ltd.,306.2,61298,10251946,
Steel Authority of India (SAIL) Ltd.,146.23,60401,29660329,
Jindal Stainless Ltd.,729.75,60090,512580,
Abbott India Ltd.,28227.7,59982,7719,
Thermax Ltd.,4984.3,59391,280016,
MRF Ltd.,138360.35,58681,6267,
UNO Minda Ltd.,1018.4,58473,505970,
Kalyan Jewellers India Ltd.,559.75,57689,2733406,
Bank of India,126.24,57473,14492663,
Bharti Hexacom Ltd.,1148.35,57418,634889,
Astral Ltd.,2130.45,57230,210897,
FSN E-Commerce Ventures Ltd.,200.12,57174,32105685,
SJVN Ltd.,143.81,56514,11812640,
Procter & Gamble Hygiene & Healthcare Ltd.,17159.3,55700,9580,
Tata Communications Ltd.,1951.35,55613,476193,
IDFC First Bank Ltd.,74.31,55575,22069106,
Aditya Birla Capital Ltd.,211.59,55062,9200005,
Central Bank of India,62.62,54360,5993637,
Petronet LNG Ltd.,362.4,54360,1677139,
L&T Technology Services Ltd.,5100.6,53979,129670,
United Breweries Ltd.,1997.65,52819,258639,
MphasiS Ltd.,2775.3,52405,457613,
Bharat Dynamics Ltd.,1419.2,52023,797569,
Hitachi Energy India Ltd.,12039.55,51026,56046,
KPIT Technologies Ltd.,1823.95,50002,700480,
Adani Wilmar Ltd.,383.15,49797,26955054,
Voltas Ltd.,1490.75,49327,532217,
Federal Bank Ltd.,197.71,48418,5501380,
Coromandel International Ltd.,1638.95,48267,200833,
GlaxoSmithKline Pharmaceuticals Ltd.,2820.25,47777,255497,
Page Industries Ltd.,42802,47741,18905,
Honeywell Automation India Ltd.,53927.35,47680,4137,
Au Small Finance Bank Ltd.,637.6,47391,3036465,
Sundaram Finance Ltd.,4223.7,46927,101764,
Bank of Maharashtra,65.51,46390,12005955,
The New India Assurance Company Ltd.,278.95,45971,3440484,
ACC Ltd.,2435.3,45732,674689,
Gujarat Gas Ltd.,656.9,45220,563647,
Punjab & Sind Bank,66.54,45099,5203590,
GE T&D India Ltd.,1747.5,44744,498124,
3M India Ltd.,39413.25,44399,3363,
L&T Finance Ltd.,177.13,44153,9004437,
Exide Industries Ltd.,508.85,43252,3858656,
Escorts Kubota Ltd.,3905.2,43152,606891,
Tata Elxsi Ltd.,6911.05,43040,51480,
Biocon Ltd.,356.1,42753,3828727,
AIA Engineering Ltd.,4499.05,42435,17596,
